OverallQual,GrLivArea,GarageCars,YearBuilt,TotalBsmtSF,1stFlrSF,2ndFlrSF,ExterQual,Fireplaces,Neighborhood
5,1632,2,1967,1632,1632,0,TA,0,Mitchel
6,1026,2,1978,940,1026,0,TA,0,CollgCr
7,1411,2,1977,1386,1411,0,TA,1,NWAmes
6,1792,2,2000,936,962,830,TA,1,Gilbert
5,1620,2,1969,780,780,840,TA,0,NWAmes
6,988,2,1969,938,988,0,TA,2,ClearCr
5,1539,2,1936,927,1067,472,TA,0,BrkSide
8,2482,3,2005,1094,1133,1349,Gd,1,Timber
7,1217,2,1990,1188,1217,0,TA,0,Mitchel
8,1795,3,2006,1795,1795,0,Gd,1,Somerst
5,1148,1,1952,980,1148,0,TA,0,Edwards
6,2119,2,1972,689,1378,741,TA,1,NWAmes
6,1575,2,1992,1575,1575,0,Gd,0,SawyerW
5,1466,2,1959,1466,1466,0,TA,2,Edwards
6,1092,1,1971,525,525,567,TA,0,BrDale
4,1192,0,1949,720,720,472,TA,0,NAmes
6,1658,2,1995,773,773,885,TA,1,Gilbert
6,2555,2,1922,588,1423,748,TA,1,Crawfor
9,2018,3,2008,2002,2018,0,Ex,1,Timber
6,1396,1,1915,698,698,698,TA,0,BrkSide
5,1812,2,1900,360,1032,780,TA,1,OldTown
6,1700,2,2003,1682,1700,0,Gd,0,CollgCr
6,1004,2,1977,975,1004,0,TA,0,Mitchel
4,1440,0,1955,1440,1440,0,TA,0,Edwards
6,2144,2,1958,1444,1444,700,Gd,2,ClearCr
7,1250,2,2006,625,625,625,Gd,0,Somerst
5,900,2,1951,900,900,0,TA,0,NAmes
6,1362,2,2005,1362,1362,0,Gd,1,NridgHt
5,1092,1,1962,1092,1092,0,TA,1,Sawyer
7,2978,2,1967,710,1898,1080,Gd,1,NAmes
6,1790,2,1972,732,1012,778,TA,1,NWAmes
6,1032,2,1978,1032,1032,0,TA,1,NWAmes
3,1306,0,1940,728,1306,0,TA,0,BrkSide
5,1432,2,1910,264,768,664,TA,0,OldTown
6,1734,2,1962,912,1085,649,TA,1,NAmes
8,2612,3,1998,1225,1276,1336,Gd,1,NoRidge
7,1740,1,1940,800,960,780,TA,2,Crawfor
7,1370,2,1976,1090,1370,0,TA,1,NWAmes
5,1096,1,1969,1096,1096,0,TA,0,NAmes
4,1510,1,1940,755,755,755,TA,1,Edwards
7,1950,2,1997,975,975,975,Gd,1,Somerst
5,2320,2,1948,0,1547,720,TA,1,Gilbert
9,1746,3,2006,1746,1746,0,Ex,2,Gilbert
5,1184,0,1910,658,658,526,TA,0,Edwards
5,1235,2,1961,1235,1235,0,TA,0,NAmes
4,1152,0,1955,0,1152,0,TA,0,Edwards
6,1004,2,1970,1004,1004,0,TA,1,NAmes
7,1277,2,1970,1277,1277,0,TA,1,NAmes
6,1855,1,1954,994,1216,639,TA,0,Edwards
6,848,2,2003,848,848,0,Gd,0,CollgCr
5,900,1,1967,864,900,0,TA,1,NAmes
5,1250,1,1918,686,686,564,TA,0,Edwards
6,2380,2,1965,1021,1465,915,TA,1,NAmes
5,1283,2,1962,931,1283,0,TA,0,NAmes
7,1316,2,2007,1316,1316,0,Gd,1,CollgCr
6,1218,0,1971,672,672,546,TA,0,BrDale
6,1306,2,2005,1306,1306,0,Gd,1,NridgHt
7,1145,2,2005,1145,1145,0,Gd,1,Blmngtn
8,1574,3,2006,1574,1574,0,Gd,1,Somerst
7,1472,2,1991,384,802,670,Gd,1,Gilbert
9,2224,3,2004,1462,1462,762,Gd,1,NridgHt
5,1302,1,1971,630,630,672,TA,0,BrDale
3,774,0,1931,544,774,0,TA,0,Edwards
6,1577,1,1939,972,972,605,TA,1,BrkSide
5,1063,1,1954,1056,1063,0,TA,0,NAmes
5,784,0,1924,784,784,0,TA,0,BrkSide
7,1710,2,2003,856,856,854,Gd,0,CollgCr
6,1069,2,1977,1069,1069,0,TA,1,NPkVill
5,1109,1,1971,372,576,533,TA,0,NAmes
7,1582,2,2004,770,770,812,Gd,0,CollgCr
9,2643,3,2006,2153,2069,574,Ex,1,NridgHt
7,2223,2,1973,2223,2223,0,TA,2,NAmes
5,1230,2,1910,440,682,548,TA,0,OldTown
5,864,0,1925,864,864,0,TA,0,Edwards
6,2073,2,1978,1542,2073,0,TA,2,NWAmes
5,1128,1,1954,936,1128,0,TA,0,NAmes
5,864,1,1978,864,864,0,Gd,0,CollgCr
6,1412,2,1988,1392,1412,0,TA,1,Timber
5,1092,1,1957,1092,1092,0,TA,1,NAmes
5,1328,1,1959,1350,1328,0,TA,2,Timber
5,1867,1,1955,1617,1867,0,Gd,3,ClearCr
7,1774,2,1931,952,1022,752,TA,2,OldTown
7,2263,2,1977,795,1468,795,TA,1,NWAmes
7,1200,2,2004,600,600,600,Gd,0,Somerst
7,1824,2,1971,1643,1824,0,TA,2,ClearCr
8,1624,3,1994,1624,1624,0,Gd,1,NoRidge
6,1068,1,1963,1059,1068,0,TA,0,Sawyer
5,1050,1,1956,1050,1050,0,TA,0,NAmes
8,2531,3,1995,1318,1328,1203,Gd,1,NoRidge
5,980,2,1977,980,980,0,TA,0,Sawyer
6,1593,2,2004,839,864,729,TA,1,Gilbert
6,1298,2,1985,1298,1298,0,Gd,1,SawyerW
8,2097,3,2005,2077,2097,0,Gd,1,Somerst
6,1095,1,1958,588,1095,0,TA,0,NAmes
6,1632,1,1958,1240,1632,0,TA,1,NAmes
7,1668,2,2003,840,840,828,Gd,0,CollgCr
7,1797,2,2006,939,939,858,Gd,0,CollgCr
4,1126,2,1949,0,1126,0,TA,0,Edwards
5,1456,1,1948,810,1002,454,TA,1,Edwards
7,2097,2,1998,1108,1108,989,TA,1,CollgCr
6,1194,2,1959,655,1194,0,TA,1,NAmes
8,2473,3,2004,1143,1143,1330,Gd,1,NridgHt
6,1525,2,2000,756,769,756,Gd,1,Somerst
5,1086,2,1954,1086,1086,0,TA,0,NAmes
7,1895,2,1994,712,1086,809,Gd,1,Gilbert
6,1362,2,1961,1362,1362,0,TA,1,NAmes
6,1350,2,1974,1064,1350,0,TA,1,NWAmes
5,1327,2,1959,1063,1327,0,TA,0,NAmes
4,1230,1,1946,747,774,456,TA,0,BrkSide
7,1889,1,1910,925,964,925,Fa,1,OldTown
5,1285,1,1948,672,1072,213,TA,0,BrkSide
5,1072,2,2005,547,1072,0,TA,0,Edwards
5,768,2,1972,768,768,0,TA,0,CollgCr
6,2210,1,1880,1008,1178,1032,TA,0,OldTown
7,1382,2,2000,673,673,709,Gd,0,Somerst
4,864,1,1970,864,864,0,TA,0,NAmes
6,1412,1,1939,780,825,587,TA,1,BrkSide
6,1069,2,1977,1069,1069,0,TA,0,NPkVill
6,987,1,1972,483,483,504,TA,1,BrDale
7,1982,2,1989,807,1175,807,Gd,1,SawyerW
7,1576,2,2006,770,778,798,Gd,0,Somerst
6,2112,2,1969,952,1092,1020,TA,2,NAmes
6,848,2,2003,848,848,0,Gd,0,CollgCr
7,1456,2,2006,728,728,728,Gd,1,CollgCr
6,2872,2,1977,1330,1542,1330,TA,1,NWAmes
4,1056,1,1966,1056,1056,0,TA,0,SawyerW
5,1148,1,1959,1148,1148,0,TA,0,NAmes
5,1284,1,1947,720,720,564,TA,0,OldTown
7,1472,2,1980,1372,1472,0,TA,2,NWAmes
5,2601,2,1921,612,990,1611,TA,0,SWISU
7,1442,2,1990,910,1442,0,Gd,1,SawyerW
4,1336,1,1920,637,897,439,TA,0,IDOTRR
5,1728,1,1964,1728,1728,0,TA,0,NAmes
5,1287,2,1959,1063,1287,0,TA,1,NAmes
5,1098,1,1955,1098,1098,0,TA,0,NAmes
5,1680,2,1976,1680,1680,0,TA,0,NWAmes
7,1588,2,1999,1588,1588,0,Gd,0,CollgCr
5,792,1,1924,768,792,0,Gd,0,OldTown
5,1114,2,2004,1114,1114,0,TA,0,SawyerW
6,1505,2,1953,1505,1505,0,TA,1,NAmes
9,1838,3,2006,1838,1838,0,Ex,1,Timber
8,2132,2,1983,1496,1496,636,Gd,1,SawyerW
7,2034,2,1997,1057,1057,977,TA,0,CollgCr
6,980,0,1975,945,980,0,TA,0,Edwards
5,1535,2,1979,0,1535,0,TA,0,SawyerW
6,1476,2,2005,738,738,738,Gd,0,CollgCr
7,1902,2,1959,1902,1902,0,Gd,2,Crawfor
6,1429,2,1960,1144,1429,0,TA,2,NAmes
5,1040,2,1996,1040,1040,0,TA,0,CollgCr
7,1530,3,2004,1530,1530,0,Gd,1,Gilbert
6,952,1,1916,952,952,0,TA,1,BrkSide
3,968,0,1910,600,600,368,TA,0,OldTown
8,2715,2,1976,1142,1175,1540,Ex,2,NWAmes
8,1494,2,1995,1494,1494,0,Gd,1,Veenker
5,1584,3,1967,1584,1584,0,TA,0,NAmes
8,1518,2,2003,1518,1518,0,Ex,1,NridgHt
5,1314,1,1957,1314,1314,0,TA,0,NAmes
7,1232,2,2007,1232,1232,0,Gd,0,CollgCr
4,936,2,1953,936,936,0,Fa,0,OldTown
8,1719,2,1993,1719,1719,0,Gd,2,Veenker
6,1054,2,1969,1054,1054,0,TA,0,NAmes
5,1344,1,1936,896,896,448,TA,0,BrkSide
5,892,1,1966,864,892,0,TA,0,NAmes
5,1559,2,1948,1559,1559,0,TA,0,OldTown
7,1682,2,1970,1304,1682,0,TA,1,NWAmes
5,882,2,1972,882,882,0,TA,0,CollgCr
6,1660,1,1934,715,849,811,TA,1,Crawfor
5,1795,1,1954,1050,1050,745,TA,0,OldTown
6,2229,0,1912,755,929,929,TA,0,OldTown
7,1573,2,2002,1573,1573,0,Gd,0,CollgCr
4,1529,1,1945,0,1088,441,TA,0,Edwards
8,2828,3,2006,1466,1466,1362,Gd,1,CollgCr
6,1611,2,1964,780,798,813,TA,0,NAmes
4,1047,1,1885,641,1047,0,TA,0,OldTown
6,1114,2,2003,1114,1114,0,TA,0,SawyerW
6,1350,2,1964,1248,1350,0,TA,0,NAmes
6,987,1,1971,483,483,504,TA,0,BrDale
8,1247,2,2005,1247,1247,0,Gd,1,Somerst
5,698,0,1947,698,698,0,TA,0,Edwards
8,1800,3,2002,1800,1800,0,Gd,1,Timber
6,1383,1,1960,1383,1383,0,TA,0,NAmes
8,1742,2,1985,1742,1742,0,Gd,1,StoneBr
6,1913,2,1928,896,1172,741,TA,1,Crawfor
4,1470,1,1954,941,997,473,TA,0,Edwards
5,864,1,1965,864,864,0,TA,1,Sawyer
4,845,1,1957,0,845,0,TA,0,Edwards
6,1484,2,2005,742,742,742,Gd,1,Gilbert
4,1440,0,1977,1440,1440,0,TA,0,Edwards
6,1481,2,1994,702,702,779,TA,1,Gilbert
5,1776,3,1958,1584,1776,0,TA,0,NAmes
6,2447,1,1919,804,1699,748,TA,1,SWISU
7,1208,2,2006,1187,1208,0,Gd,0,CollgCr
6,1253,1,1960,1253,1253,0,TA,1,NAmes
7,2082,2,2003,1362,1362,720,TA,0,OldTown
7,1709,2,2004,970,970,739,Gd,0,Edwards
6,1610,2,1977,1610,1610,0,TA,2,NWAmes
7,2514,2,1990,1216,1298,1216,TA,0,Timber
6,1512,2,2000,756,756,756,Gd,1,Somerst
6,1638,2,1998,943,943,695,TA,2,Gilbert
7,1428,2,2007,1428,1428,0,Gd,0,Somerst
6,1376,1,1937,780,780,596,TA,1,IDOTRR
7,1820,1,1925,1026,1133,687,TA,0,BrkSide
7,1524,2,1979,1332,1332,192,Gd,1,ClearCr
6,1285,2,1977,660,1285,0,TA,1,Sawyer
7,1080,0,2004,1080,1080,0,TA,0,SawyerW
5,616,1,1921,616,616,0,TA,0,BrkSide
5,1306,1,1957,992,1306,0,TA,0,NAmes
4,1121,2,2003,1121,1121,0,TA,0,Edwards
4,952,1,1956,952,952,0,TA,0,NAmes
7,2398,3,1996,1379,1383,1015,Gd,1,NoRidge
6,972,1,1948,972,972,0,TA,1,NAmes
8,1464,3,2007,1485,1464,0,Gd,0,Somerst
4,1663,2,1954,1364,1663,0,TA,2,ClearCr
10,2076,3,2006,2076,2076,0,Ex,1,NridgHt
7,1337,2,2003,1337,1337,0,Gd,0,CollgCr
5,1200,2,1965,864,1200,0,TA,0,NAmes
7,1959,2,2004,847,847,1112,Gd,1,Gilbert
5,1367,1,1900,861,961,406,TA,0,Edwards
8,1646,3,2007,1638,1646,0,Gd,1,Timber
9,1752,2,2005,1752,1752,0,Ex,1,NridgHt
7,2157,2,1966,924,1216,941,TA,2,NAmes
5,1416,2,1918,816,1416,0,TA,0,Sawyer
6,864,1,1959,864,864,0,TA,0,NAmes
6,1394,2,1963,1394,1394,0,TA,2,NAmes
8,1826,3,2005,1814,1826,0,Gd,1,StoneBr
7,2403,1,1940,1032,1207,1196,TA,2,ClearCr
4,720,0,1920,720,720,0,TA,0,IDOTRR
5,1113,1,1950,1113,1113,0,Gd,1,NAmes
6,1639,1,1936,1064,1166,0,TA,0,SWISU
8,2376,3,2005,1158,1158,1218,Gd,1,NridgHt
5,1768,1,1937,731,981,787,TA,2,SWISU
5,1040,1,1962,1040,1040,0,TA,0,Sawyer
6,1694,2,1925,1181,1390,304,TA,1,SWISU
7,1775,2,1993,740,1006,769,Gd,1,SawyerW
10,4316,3,1994,2444,2444,1872,Ex,2,NoRidge
5,804,1,1940,788,804,0,TA,2,OldTown
6,1664,2,1947,1004,1004,660,TA,2,BrkSide
5,1302,2,1970,630,630,672,TA,0,BrDale
6,1764,2,1997,928,928,836,TA,0,CollgCr
7,767,1,1998,723,767,0,TA,0,NAmes
8,2198,3,2000,1145,1145,1053,Gd,1,NoRidge
7,1405,2,2003,1405,1405,0,Gd,1,NridgHt
6,1367,1,1931,884,959,408,TA,1,BrkSide
5,1250,2,1910,661,661,589,TA,1,Crawfor
6,2320,1,1945,1028,1436,884,TA,1,Crawfor
5,768,2,1970,768,768,0,TA,0,Mitchel
7,1928,2,2003,847,847,1081,Gd,1,CollgCr
6,1314,2,2006,1314,1314,0,Gd,1,CollgCr
6,1509,2,1988,1461,1509,0,Gd,1,Timber
7,1872,2,1988,1845,1872,0,TA,1,NWAmes
7,1477,1,1928,861,877,600,TA,1,SWISU
8,2263,2,2001,1055,1055,1208,Gd,1,CollgCr
5,954,2,1976,911,954,0,TA,0,CollgCr
3,1699,2,1900,978,1014,685,TA,0,OldTown
5,882,1,1959,0,882,0,TA,0,NAmes
5,1691,1,1924,1026,1026,665,TA,1,SWISU
6,1441,2,1978,855,855,586,TA,1,NPkVill
5,1040,2,1977,1040,1040,0,TA,0,CollgCr
6,1137,2,1987,1112,1137,0,TA,1,Timber
6,1958,2,1946,979,979,979,TA,0,Crawfor
7,1504,2,2005,1346,1504,0,Gd,1,Blmngtn
6,2521,2,1973,942,1291,1230,TA,1,MeadowV
5,1968,2,1969,784,1168,800,TA,1,Mitchel
5,1352,1,1958,1062,1352,0,TA,0,ClearCr
7,2295,2,1992,1095,1166,1129,Gd,1,NoRidge
6,1690,2,2000,924,948,742,TA,1,Gilbert
4,869,0,1923,440,869,0,TA,0,BrkSide
6,1103,2,1925,1103,1103,0,TA,1,OldTown
7,1363,2,1954,1385,1363,0,TA,2,ClearCr
5,1656,2,1973,1656,1656,0,TA,0,NWAmes
6,1138,1,1958,588,1138,0,TA,0,NAmes
9,1766,3,2009,1766,1766,0,Ex,1,Somerst
8,1953,3,2005,1082,1082,871,Gd,1,Somerst
5,1077,1,1920,961,1077,0,TA,0,IDOTRR
8,2452,3,2004,1117,1132,1320,Gd,1,NridgHt
6,1470,2,1997,794,794,676,TA,0,Gilbert
7,1459,2,2002,1459,1459,0,Gd,1,CollgCr
6,754,0,1935,520,520,0,TA,0,IDOTRR
7,1428,2,2008,1417,1428,0,Gd,0,Somerst
6,1368,1,1910,684,684,684,TA,0,OldTown
6,848,2,2003,848,848,0,Gd,0,CollgCr
7,1954,2,1939,798,1137,817,Gd,2,Crawfor
4,1573,1,1935,884,989,584,TA,0,BrkSide
7,1555,2,2005,1373,1555,0,Gd,1,Blmngtn
5,1236,1,1961,912,1236,0,TA,1,Sawyer
5,1387,1,1954,811,811,576,TA,0,OldTown
8,1904,2,2005,1058,1058,846,Gd,1,NridgHt
5,864,1,1972,864,864,0,TA,1,CollgCr
8,1908,2,2002,967,993,915,Gd,0,Timber
6,1034,3,1976,1012,1034,0,TA,0,Mitchel
6,1487,1,1945,735,798,689,TA,1,Edwards
2,480,1,1949,480,480,0,TA,0,IDOTRR
8,1734,3,2007,1734,1734,0,Gd,1,NridgHt
6,1851,2,1964,822,1020,831,TA,1,NAmes
4,960,1,1920,960,960,0,TA,0,OldTown
6,2259,2,1953,1809,2259,0,TA,2,Crawfor
5,694,1,1913,440,694,0,TA,1,Crawfor
5,1344,1,1958,1024,1344,0,TA,1,NAmes
5,1056,2,1955,1056,1056,0,TA,0,Gilbert
6,1632,2,1966,800,800,832,TA,0,NWAmes
7,1392,2,2007,689,703,689,Gd,0,Somerst
6,1362,2,1920,611,751,611,TA,0,BrkSide
5,1159,1,1968,1051,1159,0,TA,1,Sawyer
7,1560,2,2003,1560,1560,0,Gd,0,Mitchel
8,1742,2,1882,916,916,826,Gd,1,OldTown
5,1347,0,1910,1117,820,527,TA,0,Edwards
4,864,2,1972,864,864,0,TA,0,NAmes
6,1456,2,2006,728,728,728,Gd,0,Gilbert
6,987,1,1971,483,483,504,TA,0,BrDale
4,1181,2,1972,1138,1181,0,TA,0,Edwards
5,938,1,1975,938,938,0,TA,0,CollgCr
6,923,1,1980,923,923,0,TA,1,SawyerW
6,1355,0,1914,684,773,582,TA,0,IDOTRR
3,1163,1,1955,1162,1163,0,TA,0,OldTown
3,1040,2,1949,0,1040,0,TA,0,NAmes
5,796,0,1910,796,796,0,TA,0,Edwards
6,1309,2,1974,1040,1309,0,TA,1,NWAmes
7,1680,2,1998,1650,1680,0,Gd,1,NWAmes
6,1431,1,1962,1099,1431,0,TA,1,NAmes
4,858,1,1971,858,858,0,TA,0,NAmes
5,1904,1,1950,1208,1136,768,TA,0,NAmes
5,1236,1,1957,1070,1236,0,TA,1,NAmes
6,1165,2,1966,1127,1165,0,TA,0,NAmes
5,1779,2,1955,1763,1779,0,TA,1,Sawyer
5,840,0,1930,672,840,0,TA,1,OldTown
7,1920,2,1968,570,1222,698,TA,1,NWAmes
5,1355,0,1940,644,808,547,TA,0,Edwards
8,2000,3,2004,2000,2000,0,Gd,0,CollgCr
7,1744,2,1993,996,1014,730,Gd,0,SawyerW
5,630,0,1970,630,630,0,TA,0,MeadowV
5,1363,1,1951,1008,1363,0,Gd,2,NAmes
5,1472,1,1925,702,842,630,TA,0,OldTown
7,2062,2,1988,1157,1180,882,Gd,1,SawyerW
5,1155,2,1961,1109,1155,0,TA,0,Sawyer
3,1040,2,1950,0,1040,0,TA,0,NAmes
6,1876,2,1974,901,943,933,Gd,1,NWAmes
6,1586,2,1979,1362,1586,0,TA,1,NWAmes
4,1317,1,1920,649,649,668,TA,0,IDOTRR
7,2167,2,1974,1192,1516,651,Gd,2,Veenker
8,3447,3,1935,728,1968,1479,TA,2,Crawfor
8,2020,2,1995,1128,1142,878,Gd,1,SawyerW
4,816,1,1938,816,816,0,TA,1,Edwards
5,1056,1,1954,1056,1056,0,TA,0,NAmes
6,1928,1,1910,1020,908,1020,TA,0,OldTown
6,1442,2,1970,1442,1442,0,TA,1,NWAmes
5,1869,2,1890,1088,1188,561,TA,0,OldTown
6,1414,2,1958,1184,1414,0,Ex,1,NAmes
4,894,2,1954,894,894,0,TA,0,Edwards
6,1294,2,1991,1278,1294,0,TA,0,SawyerW
5,894,1,1976,894,894,0,TA,0,CollgCr
6,1839,2,1957,1477,1839,0,TA,2,Crawfor
5,1652,1,1915,686,966,686,TA,0,OldTown
4,1180,1,1922,700,1180,0,TA,1,Crawfor
6,1573,2,2000,756,769,804,Gd,0,Somerst
5,1344,1,1920,672,672,672,TA,0,IDOTRR
7,1344,4,1997,1344,1344,0,TA,0,Mitchel
5,985,1,1977,985,985,0,Gd,0,CollgCr
5,1687,2,1948,747,1687,0,TA,2,Timber
6,1212,2,1977,506,1212,0,TA,1,Sawyer
7,1416,2,1999,696,696,720,Gd,0,Somerst
7,2207,2,1970,1947,2207,0,TA,1,NAmes
5,936,2,1980,936,936,0,TA,0,OldTown
8,1580,3,2007,1580,1580,0,Gd,0,Somerst
7,1456,2,2005,728,728,728,Gd,1,CollgCr
7,1212,2,2001,1212,1212,0,Gd,0,CollgCr
4,1328,1,1925,686,810,518,TA,0,OldTown
5,816,1,1982,816,816,0,Gd,1,Mitchel
5,1960,2,1952,960,960,1000,TA,0,OldTown
6,2134,2,1916,844,1445,689,TA,0,BrkSide
6,1456,2,1978,855,855,601,TA,1,NPkVill
5,936,1,1956,936,936,0,TA,0,NAmes
5,970,2,1963,970,970,0,TA,0,Sawyer
5,860,2,1982,840,860,0,TA,0,Sawyer
6,1502,1,1923,602,900,602,TA,2,Crawfor
7,2243,3,1990,700,1122,1121,Gd,1,SawyerW
5,1466,2,1936,796,1096,370,TA,1,OldTown
7,1690,1,1916,815,815,875,TA,1,OldTown
7,1726,3,2007,1726,1726,0,Ex,1,Somerst
7,1552,3,2005,1552,1552,0,Gd,0,CollgCr
6,1382,2,1962,1362,1382,0,TA,1,NAmes
5,899,1,1967,864,899,0,TA,0,Sawyer
5,1099,1,1995,1099,1099,0,TA,0,CollgCr
7,1826,1,1915,910,916,910,Gd,1,OldTown
6,918,1,1979,918,918,0,TA,1,SawyerW
4,1178,1,1900,859,859,319,TA,0,IDOTRR
8,2098,3,2005,1030,1038,1060,Gd,1,NridgHt
6,1721,2,1994,928,936,785,Gd,0,SawyerW
6,1375,1,1937,780,780,595,TA,1,IDOTRR
5,1520,1,1932,793,848,672,TA,0,SWISU
10,3608,3,1892,1107,1518,1518,Gd,2,OldTown
6,987,1,1972,483,483,504,TA,0,BrDale
8,1370,2,2006,1370,1370,0,Gd,1,NridgHt
5,1022,1,1910,1022,1022,0,TA,0,OldTown
6,1262,2,2006,1262,1262,0,Gd,0,Somerst
6,1352,1,1969,663,663,689,TA,0,Sawyer
7,1725,2,1979,539,1040,685,TA,1,NWAmes
6,1062,2,1976,1029,1062,0,TA,2,Mitchel
5,1376,1,1941,768,968,408,TA,1,NAmes
5,1712,2,1959,1626,1712,0,TA,0,NAmes
7,1720,2,2004,860,860,860,Gd,0,CollgCr
5,1040,1,1959,1040,1040,0,TA,0,NAmes
4,864,2,1971,864,864,0,TA,0,NAmes
5,900,1,1967,882,900,0,TA,0,Sawyer
7,2520,3,1995,1203,1214,1306,Gd,1,NoRidge
10,2020,3,2009,2006,2020,0,Ex,1,NridgHt
7,1314,2,2007,1314,1314,0,Gd,1,NridgHt
6,1520,1,1955,1156,1520,0,TA,2,NAmes
7,1221,2,2004,1221,1221,0,Gd,0,Somerst
7,1839,2,1998,1195,1195,644,Gd,0,NoRidge
7,1496,2,2006,654,664,832,Gd,1,Gilbert
7,1547,2,2009,756,764,783,TA,0,Somerst
5,1576,2,1923,1324,1072,504,TA,1,BrkSide
5,2414,2,1900,954,1766,648,TA,1,OldTown
5,691,1,1920,691,691,0,TA,0,OldTown
7,1664,2,1976,832,832,832,TA,1,NWAmes
5,1065,2,1960,1065,1065,0,TA,0,NAmes
6,1026,2,1969,1026,1026,0,TA,0,NAmes
8,1419,2,2007,1419,1419,0,Gd,1,StoneBr
4,990,0,1994,990,990,0,TA,0,CollgCr
6,1328,2,1963,1328,1328,0,TA,2,NWAmes
5,1484,2,1971,1484,1484,0,TA,1,NWAmes
5,1097,2,1994,1097,1097,0,TA,0,CollgCr
7,1850,2,1994,973,979,871,Gd,1,NoRidge
3,1214,3,1915,672,694,520,TA,0,OldTown
6,1072,2,2005,547,1072,0,TA,0,Edwards
7,1948,2,2004,847,847,1101,Gd,1,CollgCr
8,1554,2,2006,1554,1554,0,Gd,1,NridgHt
9,1684,2,2005,1684,1684,0,Ex,1,NridgHt
5,990,2,1994,990,990,0,TA,0,CollgCr
5,1214,2,1965,1214,1214,0,TA,0,Edwards
8,1656,3,2006,1656,1656,0,Gd,0,Somerst
3,1040,2,1950,0,1040,0,TA,0,NAmes
5,1044,2,1952,540,1044,0,Fa,0,IDOTRR
8,1989,2,2002,1065,1091,898,Gd,1,CollgCr
5,1028,2,1927,1008,1028,0,TA,1,OldTown
5,1056,1,1958,1056,1056,0,TA,0,NAmes
5,1130,2,1920,1120,1130,0,TA,1,OldTown
5,1152,2,1964,1152,1152,0,TA,1,NAmes
6,1556,2,1980,716,716,840,TA,1,Blueste
4,693,0,1941,693,693,0,TA,0,OldTown
4,630,1,1970,630,630,0,TA,0,MeadowV
6,1482,1,1925,672,810,672,TA,0,SWISU
5,1416,3,1915,876,876,540,TA,1,OldTown
5,1073,2,1965,1073,1073,0,TA,0,NAmes
