OverallQual,GrLivArea,GarageCars,YearBuilt,TotalBsmtSF,1stFlrSF,2ndFlrSF
5,780,1,1972,780,780,0
5,1131,1,1941,676,676,455
5,1144,1,1959,1144,1144,0
6,1668,1,1950,856,1112,556
6,932,1,1950,932,932,0
5,894,2,1972,894,894,0
4,858,0,1971,858,858,0
5,1558,1,1945,913,1048,510
8,1665,2,2001,810,810,855
3,1526,0,1915,1013,1013,0
5,874,1,1968,864,874,0
4,1294,0,1900,0,694,600
6,913,1,1966,814,913,0
7,1863,3,2006,879,879,984
6,1647,2,1999,953,953,694
6,1442,1,1958,1442,1442,0
6,912,1,1961,912,912,0
9,1620,3,2007,1620,1620,0
7,2094,2,2003,912,912,1182
7,1220,2,2006,1199,1220,0
7,1364,2,2005,1364,1364,0
7,1391,2,2004,1391,1391,0
6,1661,1,1955,992,1661,0
6,1680,1,1915,840,840,840
7,1502,2,2009,1502,1502,0
5,1362,2,1993,796,796,566
7,1274,2,2005,1274,1274,0
8,1600,3,2007,1566,1600,0
9,2596,3,2006,1249,1249,1347
4,1132,2,2005,1132,1132,0
1,904,0,1922,683,904,0
7,854,2,1929,832,854,0
5,833,0,1985,833,833,0
7,1525,2,2000,1525,1525,0
7,1248,2,2005,1248,1248,0
4,788,0,1941,788,788,0
8,1629,3,2002,1616,1629,0
9,1702,3,2008,1702,1702,0
6,1141,2,2005,1141,1141,0
6,1647,1,1915,806,841,806
5,914,2,1996,870,914,0
4,930,1,1946,0,930,0
7,1102,2,2004,551,551,551
7,1820,2,1965,864,902,918
8,1441,2,1999,776,764,677
4,1092,1,1970,546,546,546
5,1074,2,1975,1056,1074,0
8,2466,2,2004,1580,1580,886
6,1426,2,1977,690,698,728
6,1977,2,1964,816,1127,850
7,2418,3,1993,1311,1325,1093
5,1393,1,1955,816,872,521
7,1310,2,2005,1310,1310,0
7,2127,3,1991,1104,912,1215
6,1262,2,1976,1262,1262,0
8,2090,2,1995,1220,1220,870
7,1252,2,1999,600,624,628
6,1232,2,1984,1232,1232,0
6,1117,2,1976,1029,1117,0
7,1710,2,1921,576,902,808
6,1116,2,1962,1116,1116,0
5,1604,2,1941,984,984,620
5,1111,1,1941,616,616,495
6,1118,2,1920,648,734,384
5,1700,2,1959,1398,1700,0
6,1593,2,1992,808,808,785
5,1224,2,1979,1086,1224,0
7,1339,2,1990,1309,1339,0
8,2448,3,1994,1629,1686,762
4,1324,1,1936,672,757,567
10,3627,3,1995,1930,1831,1796
7,1935,2,1976,793,1142,793
6,1471,2,1999,729,742,729
7,2021,2,2006,868,887,1134
4,924,1,1941,672,672,252
5,1126,2,1977,1126,1126,0
5,894,1,1965,894,894,0
7,2519,2,1989,1210,1238,1281
5,2080,2,1969,1040,1040,1040
5,1228,1,1966,1228,1228,0
7,1836,2,2004,1860,1836,0
9,2868,3,2005,1992,1992,876
6,1258,2,1971,1258,1258,0
4,845,2,1982,845,845,0
7,1641,2,1925,728,832,809
6,981,2,1971,981,981,0
6,1176,2,1937,698,786,390
7,2084,2,2004,956,956,1128
9,2364,3,2009,2330,2364,0
7,1414,2,2004,1375,1414,0
6,1218,1,1973,672,672,546
6,1511,2,1997,802,802,709
7,2260,2,1996,1306,1306,954
7,1146,2,2003,868,1146,0
6,1392,2,1957,1392,1392,0
5,968,2,1923,968,968,0
6,1556,2,1968,727,829,727
8,1704,3,2007,1704,1704,0
8,2270,3,1999,1152,1164,1106
5,912,1,1967,912,912,0
8,1414,2,2004,707,707,707
5,974,0,1991,974,974,0
3,944,2,1952,0,944,0
8,1588,3,2006,1588,1588,0
8,2794,3,1995,1462,1490,1304
6,1224,1,1926,818,818,406
6,848,2,2003,848,848,0
4,672,1,1941,672,672,0
8,1314,2,2009,1300,1314,0
5,1383,1,1954,1383,1383,0
6,1092,2,1964,1092,1092,0
5,1015,1,1925,768,1015,0
5,2274,2,1960,1105,1105,1169
7,1640,2,2003,798,798,842
6,1416,2,1968,708,708,708
6,1494,2,1997,1479,1494,0
7,1456,2,2007,728,728,728
7,1530,2,2005,1530,1530,0
6,3395,0,1914,1440,1440,1440
8,1566,2,2008,1566,1566,0
9,1869,2,2007,1869,1869,0
6,1743,2,1968,702,1041,702
4,988,1,1973,462,526,462
4,864,2,1970,864,864,0
6,1344,2,1958,819,1344,0
4,1981,2,1928,1122,1328,653
5,1319,1,1953,608,1319,0
7,1621,2,1984,1208,1621,0
6,1671,2,2000,959,959,712
5,768,1,1972,768,768,0
6,1400,2,1978,672,672,728
4,948,1,1954,948,948,0
6,1334,2,1977,1350,1334,0
8,2262,3,2003,1482,1482,780
5,864,2,1955,864,864,0
7,1692,2,2009,846,846,846
10,2775,2,1893,1237,1521,1254
6,1212,2,2009,1212,1212,0
5,1053,1,1959,1053,1053,0
5,912,1,1958,912,912,0
7,1535,2,2004,1517,1535,0
8,3228,2,1992,3200,3228,0
7,1728,2,2004,864,864,864
5,912,1,1958,912,912,0
7,2196,3,1990,2158,2196,0
6,1960,2,2002,860,860,1100
7,1779,2,1998,866,866,913
5,1190,2,1962,1106,1190,0
7,1569,3,2007,1386,1569,0
6,1244,1,1957,1244,1244,0
6,1458,1,1948,912,912,546
5,1320,2,1966,1164,1320,0
5,1188,1,1962,1188,1188,0
8,2358,0,1872,684,938,1215
7,1258,3,2006,1258,1258,0
7,1173,2,1974,1053,1173,0
7,1768,2,2005,866,866,902
5,948,1,1968,948,948,0
6,1469,1,1906,756,756,713
6,987,1,1970,483,483,504
5,1271,1,1948,720,720,551
7,1389,1,1946,651,707,682
6,1118,1,1977,1096,1118,0
7,2156,2,1968,1568,2156,0
6,816,1,1930,816,816,0
8,1652,2,2000,1494,1652,0
5,1057,1,1953,1057,1057,0
7,1474,2,1995,384,804,670
8,2217,2,1970,2217,2217,0
4,1208,2,1925,780,848,0
7,1422,2,2004,1422,1422,0
7,1947,2,2004,991,991,956
7,2036,2,1965,2136,2036,0
6,1357,1,1959,1019,1357,0
7,1630,2,2000,1630,1630,0
6,1664,2,2000,953,953,711
5,1803,2,1957,1134,1803,0
5,954,1,1938,920,954,0
8,3194,2,1934,965,1940,1254
4,951,1,1936,951,951,0
7,1432,2,2004,716,716,716
5,2240,2,1979,0,1120,1120
7,1482,2,1992,384,812,670
5,1256,1,1965,1256,1256,0
5,672,1,1940,672,672,0
7,1500,3,2006,1356,1500,0
5,1248,1,1930,912,912,336
7,1479,2,1972,725,725,754
8,1976,3,2006,1976,1976,0
5,1784,1,1914,747,892,892
7,1111,1,1926,572,572,539
10,2084,3,2007,2078,2084,0
6,1616,1,1926,1149,1149,467
4,1220,2,1951,836,1220,0
5,1964,0,1911,940,1024,940
5,999,1,1962,925,999,0
6,1470,2,1993,680,680,790
5,1582,2,1964,1624,1582,0
7,1494,2,1998,1482,1494,0
7,1372,2,2007,1372,1372,0
8,2046,3,2008,2046,2046,0
5,1144,1,1956,1144,1144,0
5,1124,0,1954,0,1124,0
6,1412,2,2006,616,616,796
6,1392,2,1968,1392,1392,0
6,1902,2,1978,0,1318,584
8,2365,3,1999,1252,1268,1097
6,1682,2,1998,804,804,878
8,1324,2,2006,1324,1324,0
6,1224,2,2009,612,612,612
4,960,1,1956,672,960,0
4,1788,1,1957,1104,1104,684
8,1852,3,1999,1004,1004,848
8,1801,3,2005,893,901,900
6,1657,2,1970,1657,1657,0
8,2727,2,1932,853,1549,1178
5,1365,2,1971,765,765,600
8,2031,2,2002,1128,1128,903
5,910,2,1953,105,910,0
7,1494,3,2006,1494,1494,0
7,2340,1,1941,1152,1188,1152
6,2267,2,2002,1010,1010,1257
5,924,1,1975,924,924,0
7,1724,2,1998,880,880,844
6,848,2,2004,848,848,0
9,1905,3,2006,1905,1905,0
4,630,0,1970,630,630,0
6,1683,2,1978,918,918,765
9,2668,3,2003,1572,1572,1096
5,1203,1,1950,709,979,224
7,1717,3,1915,756,961,756
6,848,2,2004,848,848,0
4,1588,2,1959,0,1120,468
5,1048,2,1950,0,1048,0
9,2713,3,2008,1452,1476,1237
8,3238,3,1995,2033,2053,1185
4,747,1,1945,747,747,0
8,2028,3,2005,1868,2028,0
5,1150,1,1959,1150,1150,0
7,1776,2,2002,936,936,840
4,960,1,1965,960,960,0
4,1029,1,1961,1029,1029,0
6,1218,2,2009,1218,1218,0
5,1144,1,1963,1144,1144,0
4,1382,2,1963,1051,1382,0
6,1728,2,1976,1728,1728,0
6,1425,2,1964,1425,1425,0
10,2007,3,2008,1017,1026,981
5,1432,2,1978,1360,1432,0
6,784,2,1928,784,784,0
5,1394,2,2006,384,754,640
6,864,1,1959,864,864,0
8,1593,2,2001,1593,1593,0
6,1218,2,1941,735,869,349
5,1211,1,1968,952,1211,0
5,1422,1,1960,978,1422,0
8,1872,2,2001,1299,1299,573
3,894,3,1935,894,894,0
7,1718,2,1998,832,885,833
5,1048,1,1922,993,1048,0
8,1288,2,1996,1260,1288,0
6,1200,1,1923,1200,1200,0
3,1183,1,1948,649,679,504
8,1844,2,2005,1844,1844,0
6,790,1,1930,768,790,0
